id,genre,unique_id
215,Comedy,215%Comedy
215,Romance,215%Romance
216,Comedy,216%Comedy
216,Romance,216%Romance
218,Action,218%Action
218,Sci-Fi,218%Sci-Fi
218,Comedy,218%Comedy
218,Romance,218%Romance
219,Comedy,219%Comedy
219,Action,219%Action
219,Sci-Fi,219%Sci-Fi
219,Drama,219%Drama
219,Thriller,219%Thriller
222,Sci-Fi,222%Sci-Fi
222,Adventure,222%Adventure
222,Action,222%Action
222,Comedy,222%Comedy
222,Mystery,222%Mystery
223,Fantasy,223%Fantasy
223,Action,223%Action
223,Comedy,223%Comedy
223,Adventure,223%Adventure
225,Action,225%Action
225,Comedy,225%Comedy
225,Sci-Fi,225%Sci-Fi
225,Fantasy,225%Fantasy
225,Adventure,225%Adventure
226,Thriller,226%Thriller
226,Fantasy,226%Fantasy
226,Children,226%Children
226,Drama,226%Drama
226,Romance,226%Romance
226,Action,226%Action
226,Horror,226%Horror
227,Thriller,227%Thriller
227,Comedy,227%Comedy
227,Action,227%Action
227,Sci-Fi,227%Sci-Fi
228,Mystery,228%Mystery
228,Thriller,228%Thriller
228,Fantasy,228%Fantasy
228,Horror,228%Horror
229,Comedy,229%Comedy
229,Action,229%Action
230,Action,230%Action
230,Children,230%Children
230,Comedy,230%Comedy
231,Children,231%Children
231,Fantasy,231%Fantasy
231,Comedy,231%Comedy
231,Action,231%Action
232,Romance,232%Romance
232,Children,232%Children
232,Drama,232%Drama
232,Fantasy,232%Fantasy
232,Comedy,232%Comedy
232,Adventure,232%Adventure
233,Comedy,233%Comedy
233,Drama,233%Drama
233,Sci-Fi,233%Sci-Fi
234,Action,234%Action
234,Adventure,234%Adventure
235,Action,235%Action
235,Mystery,235%Mystery
235,Adventure,235%Adventure
235,Comedy,235%Comedy
236,Action,236%Action
236,Sci-Fi,236%Sci-Fi
236,Adventure,236%Adventure
236,Fantasy,236%Fantasy
236,Comedy,236%Comedy
236,Drama,236%Drama
237,Action,237%Action
237,Romance,237%Romance
237,Drama,237%Drama
237,Sci-Fi,237%Sci-Fi
237,Adventure,237%Adventure
238,Action,238%Action
238,Adventure,238%Adventure
239,Mystery,239%Mystery
239,Sci-Fi,239%Sci-Fi
239,Drama,239%Drama
239,Fantasy,239%Fantasy
239,Thriller,239%Thriller
240,Comedy,240%Comedy
240,Romance,240%Romance
241,Romance,241%Romance
241,Children,241%Children
241,Comedy,241%Comedy
241,Action,241%Action
241,Fantasy,241%Fantasy
242,Comedy,242%Comedy
242,Drama,242%Drama
242,Romance,242%Romance
242,Children,242%Children
243,Comedy,243%Comedy
243,Drama,243%Drama
243,Musical,243%Musical
243,Romance,243%Romance
243,Action,243%Action
244,Mystery,244%Mystery
244,Historical,244%Historical
245,Romance,245%Romance
245,Action,245%Action
245,Children,245%Children
245,Comedy,245%Comedy
245,Drama,245%Drama
246,Romance,246%Romance
246,Comedy,246%Comedy
246,Action,246%Action
246,Fantasy,246%Fantasy
246,Adventure,246%Adventure
247,Historical,247%Historical
247,Fantasy,247%Fantasy
247,Drama,247%Drama
248,Romance,248%Romance
248,Comedy,248%Comedy
248,Action,248%Action
249,Fantasy,249%Fantasy
249,Action,249%Action
249,Comedy,249%Comedy
249,Historical,249%Historical
249,Romance,249%Romance
249,Adventure,249%Adventure
250,Adventure,250%Adventure
250,Action,250%Action
250,Comedy,250%Comedy
250,Fantasy,250%Fantasy
251,Adventure,251%Adventure
251,Fantasy,251%Fantasy
251,Comedy,251%Comedy
251,Drama,251%Drama
252,Fantasy,252%Fantasy
252,Action,252%Action
252,Drama,252%Drama
252,Mystery,252%Mystery
252,Thriller,252%Thriller
253,Children,253%Children
253,Romance,253%Romance
253,Comedy,253%Comedy
254,Comedy,254%Comedy
254,Romance,254%Romance
255,Comedy,255%Comedy
255,Romance,255%Romance
256,Action,256%Action
256,Sci-Fi,256%Sci-Fi
256,Romance,256%Romance
256,Drama,256%Drama
257,Children,257%Children
257,Action,257%Action
257,Romance,257%Romance
258,Drama,258%Drama
258,Fantasy,258%Fantasy
258,Horror,258%Horror
259,Romance,259%Romance
259,Comedy,259%Comedy
259,Children,259%Children
260,Romance,260%Romance
260,Drama,260%Drama
260,Comedy,260%Comedy
261,Romance,261%Romance
261,Comedy,261%Comedy
262,Comedy,262%Comedy
262,Romance,262%Romance
262,Children,262%Children
263,Action,263%Action
263,Comedy,263%Comedy
263,Drama,263%Drama
264,Comedy,264%Comedy
264,Action,264%Action
265,Action,265%Action
265,Comedy,265%Comedy
266,Action,266%Action
266,Drama,266%Drama
266,Romance,266%Romance
266,Sci-Fi,266%Sci-Fi
267,Sci-Fi,267%Sci-Fi
267,Action,267%Action
267,Children,267%Children
